fire_id_sgif,fire_id_anepc,year,datetime_start,datetime_first_intervention,datetime_end,duration_min,dicofre_code,nuts3_region,district,municipality,parish,locality,cause_code,cause_type,cause_description,area_ha_sig,area_ha_sgif,area_ha_forest,area_ha_scrub,area_ha_agricultural,edition
20251089043,20251089043,2025,2025-08-15,2025-08-15,2025-08-15,330,170353,Alto Tâmega e Barroso,Vila Real,Chaves,Planalto de Monforte (União das freguesias de Oucidres e Bobadela),Bolideira,448,Intentional,Arson - Culpable,61.51069545,61.37416027,8.57821451,45.31715717,7.47878859,2026-03-10
20251204333,20251204333,2025,2025-09-08,2025-09-08,2025-09-09,975,170330,Alto Tâmega e Barroso,Vila Real,Chaves,Santo António de Monforte,Chã da Vrea,151,Negligent,Use of fire - Smoking,554.38456506,552.01070019,234.67870653,234.38502186,82.94697181,2026-03-10
20251327023,20251327023,2025,2025-10-03,2025-10-03,2025-10-03,297,170309,Alto Tâmega e Barroso,Vila Real,Chaves,Cimo de Vila da Castanheira,Alto do Judeu,121,Negligent,Burning of forest or agricultural residues,2.37492721,2.37492721,0.0,1.0696653,1.30526191,2026-03-10
20251198095,20251198095,2025,2025-09-07,2025-09-07,2025-09-07,221,170309,Alto Tâmega e Barroso,Vila Real,Chaves,Cimo de Vila da Castanheira,Dadim (Ribeiro de Lamigueiras),448,Intentional,Arson - Culpable,13.10925208,13.10925208,3.07401421,6.8494149,3.18582297,2026-03-10
20251209669,20251209669,2025,2025-09-09,2025-09-09,2025-09-09,269,170309,Alto Tâmega e Barroso,Vila Real,Chaves,Cimo de Vila da Castanheira,FRAGAS,448,Intentional,Arson - Culpable,19.66256679,19.66256679,2.50404356,12.84127577,4.31724746,2026-03-10
20251197229,20251197229,2025,2025-09-06,2025-09-06,2025-09-06,31,170360,Alto Tâmega e Barroso,Vila Real,Chaves,União das freguesias de Travancas e Roriz,Montonto,125,Negligent,Burning for pasture management,1.07903887,1.07903887,0.0,0.0687728,1.01026607,2026-03-10
20251249902,20251249902,2025,2025-09-18,2025-09-18,2025-09-18,66,170360,Alto Tâmega e Barroso,Vila Real,Chaves,União das freguesias de Travancas e Roriz,Dadim (Montonto),127,Negligent,Extensive burning - Clearance of paths and access routes,1.55489211,1.55489211,0.23816222,0.53716829,0.7795616,2026-03-10
20250665839,20250665839,2025,2025-05-24,2025-05-24,2025-05-24,169,170359,Alto Tâmega e Barroso,Vila Real,Chaves,União das freguesias de Soutelo e Seara Velha,Soutelo (Limarinho),448,Intentional,Arson - Culpable,10.45756582,10.45756582,0.0,10.45756582,0.0,2026-03-10
20251243428,20251243428,2025,2025-09-16,,2025-09-16,2,170359,Alto Tâmega e Barroso,Vila Real,Chaves,União das freguesias de Soutelo e Seara Velha,"LatLong(41.76310313,-7.57093046) - M527, 5400-780 Chaves, Portugal (Fraga do Laço)",125,Negligent,Burning for pasture management,0.82215506,0.82215506,0.0,0.82215506,0.0,2026-03-10
20251243342,20251243342,2025,2025-09-16,2025-09-16,2025-09-16,44,170359,Alto Tâmega e Barroso,Vila Real,Chaves,União das freguesias de Soutelo e Seara Velha,Fraga do Laço,125,Negligent,Burning for pasture management,1.06889861,1.06889861,0.0,0.17815916,0.89073945,2026-03-10
